"","game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
"57",63098,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,238,"Vanderbilt","fbs","SEC",30,NA,1394,1399,193,"Miami (OH)","fbs","Mid-American",33,NA,1557,1552,NA,"",NA
"58",63097,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,97,"Louisville","fbs","Conference USA",40,NA,1541,1548,96,"Kentucky","fbs","SEC",34,NA,1531,1524,NA,"",NA
"59",63095,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2306,"Kansas State","fbs","Big 12",54,NA,1903,1985,2348,"Louisiana Tech","fbs","FBS Independents",10,NA,1550,1468,NA,"",NA
"60",63094,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,66,"Iowa State","fbs","Big 12",25,NA,1455,1472,195,"Ohio","fbs","Mid-American",15,NA,1459,1442,NA,"",NA
"61",63090,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,57,"Florida","fbs","SEC",40,NA,1718,1717,2050,"Ball State","fbs","Mid-American",19,NA,1182,1183,NA,"",NA
"62",63087,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,36,"Colorado State","fbs","Mountain West",28,NA,1598,1604,38,"Colorado","fbs","Big 12",24,NA,1687,1681,NA,"",NA
"63",63130,2000,2,"regular","2000-09-04T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,2132,"Cincinnati","fbs","Conference USA",23,NA,1448,1452,349,"Army","fbs","Conference USA",17,NA,1374,1370,NA,"",NA
"64",63132,2000,3,"regular","2000-09-07T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,151,"East Carolina","fbs","Conference USA",28,NA,1639,1628,259,"Virginia Tech","fbs","Big East",45,NA,1943,1954,NA,"",NA
"65",63131,2000,3,"regular","2000-09-07T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,5,"UAB","fbs","Conference USA",20,NA,NA,NA,236,"Chattanooga",NA,NA,15,NA,NA,NA,NA,"",NA
"66",63184,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,258,"Virginia","fbs","ACC",34,NA,NA,NA,257,"Richmond",NA,NA,6,NA,NA,NA,NA,"",NA
"67",63179,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2641,"Texas Tech","fbs","Big 12",13,NA,1540,1530,249,"North Texas","fbs","Big West",7,NA,1154,1164,NA,"",NA
"68",63174,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,2579,"South Carolina","fbs","SEC",21,NA,1451,1487,61,"Georgia","fbs","SEC",10,NA,1651,1615,NA,"",NA
"69",63172,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,164,"Rutgers","fbs","Big East",59,NA,1118,1288,2084,"Buffalo","fbs","Mid-American",0,NA,996,826,NA,"",NA
"70",63169,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,189,"Bowling Green","fbs","Mid-American",16,NA,1345,1315,221,"Pittsburgh","fbs","Big East",34,NA,1477,1507,NA,"",NA
"71",63159,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,154,"Wake Forest","fbs","ACC",14,NA,1551,1494,153,"North Carolina","fbs","ACC",35,NA,1519,1576,NA,"",NA
